year;Annual Temp;diff T;ln T;diff ln T;Moving average (5 years);Moving average (10 years);%annual Temp 1;%annual Temp 2;%annual Temp 3;%annual Temp 3;;;FORECAST;;;;;
1900;15.144;;2.717604414;0;#N/D;#N/D;;-0.63%;0.00%;0.00%;;;ln T;;;T;;
1901;15.073;-0.093;2.712905064;-0.00617907;#N/D;#N/D;-0.47%;-1.09%;0.00%;0.00%;;;LOWE;FORE;UPPE;LOWE;FORE;UPPE
1902;14.958;-0.118;2.705246274;-0.007890501;#N/D;#N/D;-0.76%;-1.85%;0.00%;0.00%;;2016;2.758249013;2.770937943;2.783626872;15.77220184;15.97360931;16.17758872
1903;14.837;-0.074;2.697124061;-0.004971823;#N/D;#N/D;-0.81%;-2.65%;0.00%;0.00%;;2017;2.754528895;2.768872471;2.783216048;15.71363639;15.94065033;16.17094394
1904;14.81;0.059;2.695302628;0.003960816;14.965;#N/D;-0.18%;-2.82%;-1.03%;0.00%;;2018;2.754636918;2.769413833;2.784190749;15.71533391;15.94928233;16.18671346
1905;14.955;0.111;2.705045692;0.007439317;14.927;#N/D;0.97%;-1.87%;0.19%;0.00%;;2019;2.754757291;2.769955195;2.785153099;15.71722573;15.957919;16.20229824
1906;15.032;-0.04;2.710181262;-0.00268187;14.918;#N/D;0.52%;-1.36%;0.76%;0.00%;;2020;2.754889016;2.770496557;2.786104097;15.71929622;15.96656034;16.21771393
1907;14.875;-0.097;2.699681951;-0.006494902;14.902;#N/D;-1.05%;-2.40%;-0.18%;0.00%;;2021;2.755031221;2.771037918;2.787044616;15.72153174;15.97520637;16.23297417
1908;14.838;-0.0425;2.697191458;-0.002865337;14.902;#N/D;-0.25%;-2.64%;-0.43%;0.00%;;2022;2.75518314;2.77157928;2.78797542;15.72392032;15.98385708;16.24809093
1909;14.79;-0.0095;2.693951277;-0.000640658;14.898;14.931;-0.32%;-2.95%;-0.72%;-0.94%;;2023;2.755344097;2.772120642;2.788897187;15.7264514;15.99251247;16.26307478
1910;14.819;-0.007;2.695910141;-0.000473517;14.871;14.899;0.19%;-2.76%;-0.35%;-0.53%;;2024;2.755513491;2.772662004;2.789810517;15.72911558;16.00117255;16.27793512
1911;14.776;0.029;2.693004243;0.001953127;14.82;14.869;-0.29%;-3.04%;-0.29%;-0.63%;;2025;2.755690783;2.773203366;2.790715948;15.73190448;16.00983732;16.29268034
1912;14.877;0.0665;2.699816396;0.004480407;14.82;14.861;0.69%;-2.38%;0.38%;0.11%;;2026;2.755875491;2.773744727;2.791613963;15.73481056;16.01850678;16.30731799
1913;14.909;0.0995;2.701965057;0.00664384;14.834;14.868;0.21%;-2.17%;0.50%;0.27%;;2027;2.75606718;2.774286089;2.792504998;15.73782704;16.02718093;16.32185485
1914;15.076;0.1175;2.713104075;0.007819678;14.891;14.895;1.12%;-1.07%;1.24%;1.22%;;2028;2.756265455;2.774827451;2.793389447;15.74094777;16.03585978;16.33629708
1915;15.144;-0.0875;2.717604414;-0.005837875;14.956;14.914;0.45%;-0.63%;1.25%;1.54%;;2029;2.756469957;2.775368813;2.794267668;15.74416715;16.04454333;16.35065026
1916;14.901;-0.167;2.701428325;-0.011150893;14.981;14.901;-1.60%;-2.22%;-0.53%;0.01%;;2030;2.756680359;2.775910174;2.795139989;15.74748011;16.05323159;16.36491951
1917;14.81;0.0295;2.695302628;0.001975824;14.968;14.894;-0.62%;-2.82%;-1.06%;-0.57%;;2031;2.756896362;2.776451536;2.79600671;15.75088198;16.06192455;16.37910947
1918;14.96;0.0985;2.705379973;0.006607065;14.978;14.906;1.01%;-1.84%;-0.12%;0.36%;;2032;2.75711769;2.776992898;2.796868105;15.75436848;16.07062221;16.39322444
1919;15.007;0.033;2.708516759;0.002201031;14.964;14.928;0.31%;-1.53%;0.28%;0.53%;;2033;2.757344091;2.77753426;2.797724428;15.75793568;16.07932459;16.40726835
